"Country","Year","Status","Life.expectancy","Adult.Mortality","infant.deaths","Alcohol","percentage.expenditure","Hepatitis.B","Measles","BMI","under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling","Population","GDP"
"Angola",2011,"Developing",51,361,75,8.06,239.8913921,72,1449,21,115,73,3.38,71,2.5,8.9,8.8,0.495,9.4,24259111,4511.153227
"Angola",2010,"Developing",49.6,365,78,7.8,191.6537407,77,1190,2.4,121,81,3.39,77,2.5,9.1,9,0.488,9,23364185,3496.784796
"Angola",2009,"Developing",49.1,369,81,7.01,212.9229325,61,2807,19.8,127,63,4.37,6,2.5,9.3,9.2,0.48,8.5,22507674,3123.698898
"Angola",2008,"Developing",48.7,371,84,7.07,249.9101958,69,265,19.3,133,65,3.84,69,2.6,9.5,9.4,0.468,8.1,21691522,4081.717497
"Angola",2007,"Developing",48.2,375,87,6.35,184.8213446,73,1014,18.8,138,75,3.38,73,2.6,9.6,9.6,0.454,7.7,20909684,3121.348735
"Angola",2006,"Developing",47.7,381,90,5.84,25.08688824,72,765,18.2,143,36,4.54,34,2.5,9.8,9.7,0.439,7.2,20162340,2597.963585
"Angola",2005,"Developing",47.4,382,92,5.04,98.19145117,72,258,17.7,148,39,4.1,38,2.6,1,9.9,0.426,6.8,19450959,1900.723817
"Angola",2004,"Developing",47.1,386,94,3.53,8.8667775,72,29,17.2,152,4,4.71,4,2.5,1.2,1.1,0.415,6.4,18771125,1254.696126
"Angola",2003,"Developing",46.8,388,95,3.49,35.93349121,72,1196,16.8,155,4,4.41,4,2.4,1.4,1.3,0.406,5.9,18124342,982.8055896
"Angola",2002,"Developing",46.5,391,96,2.82,24.037942,72,11945,16.3,157,37,3.63,41,2.3,1.5,1.5,0.401,5.5,17516139,872.657638
"Angola",2001,"Developing",45.7,44,97,2.58,30.35993647,72,9046,15.8,159,41,5.38,38,2.1,1.7,1.7,0.391,5.1,16941587,527.4641185
"Angola",2000,"Developing",45.3,48,97,1.85,15.88149254,72,2219,15.4,160,3,2.79,28,2,1.9,1.9,0.382,4.6,16394062,556.8842437
"Antigua and Barbuda",2015,"Developing",76.4,13,0,7.84,0,99,0,47.7,0,86,4.53,99,0.2,3.3,3.3,0.784,13.9,89941,14861.88271
"Antigua and Barbuda",2014,"Developing",76.2,131,0,8.56,2422.999774,99,0,47,0,96,5.54,99,0.2,3.3,3.3,0.782,13.9,89236,14004.81121
"Antigua and Barbuda",2013,"Developing",76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,3.3,3.3,0.781,13.9,88497,13350.14914
"Antigua and Barbuda",2012,"Developing",75.9,134,0,8.18,2156.229842,98,0,45.7,0,97,5.39,98,0.2,3.3,3.3,0.778,13.8,87674,13686.47659
"Antigua and Barbuda",2011,"Developing",75.7,136,0,7.84,1810.875316,99,0,45.1,0,99,5.65,99,0.1,3.3,3.3,0.782,14.1,86729,13117.14694
"Antigua and Barbuda",2010,"Developing",75.6,138,0,7.84,1983.956937,98,0,44.4,0,99,5.63,98,0.1,3.3,3.3,0.783,14.1,85695,13404.51602
"Antigua and Barbuda",2009,"Developing",75.4,14,0,7.82,149.3587355,98,0,43.8,0,98,4.86,99,0.1,3.4,3.3,0.788,14.2,84534,14530.59869
"Antigua and Barbuda",2008,"Developing",75.2,142,0,8.27,180.7762695,98,0,43.2,0,99,4.69,99,0.1,3.4,3.3,0.786,14.4,83251,16457.10406
"Antigua and Barbuda",2007,"Developing",75,144,0,8.64,257.9665308,97,0,42.6,0,98,4.27,99,0.1,3.4,3.3,0.781,14.5,82016,16006.13611
"Antigua and Barbuda",2006,"Developing",74.8,145,0,8.93,216.3146941,99,0,42,0,99,4.34,99,0.1,3.4,3.4,0.773,14.7,80895,14310.68623
"Antigua and Barbuda",2005,"Developing",74.6,147,0,8.15,1455.608186,99,0,41.4,0,98,4.41,99,0.1,3.5,3.4,0,0,79869,12808.01015
"Antigua and Barbuda",2004,"Developing",74.4,149,0,7.28,22.86295206,97,0,4.8,0,97,4.21,97,0.1,3.5,3.4,0,0,78941,11650.84848
"Antigua and Barbuda",2003,"Developing",74.2,151,0,7.16,1158.065259,99,0,4.1,0,99,4.53,99,0.1,3.5,3.5,0,0,78075,10968.89268
"Antigua and Barbuda",2002,"Developing",74,153,0,7.21,927.4075855,99,0,39.5,0,93,4.41,98,0.1,3.6,3.5,0,0,77195,10549.66619
"Antigua and Barbuda",2001,"Developing",73.8,154,0,7.51,163.7676978,96,0,38.9,0,99,4.48,97,0.1,3.6,3.5,0,0,76215,10502.93881
"Antigua and Barbuda",2000,"Developing",73.6,156,0,7.27,1127.74347,99,0,38.2,0,96,4.13,95,0.1,3.7,3.6,0,0,75055,11010.19746
"Argentina",2015,"Developing",76.3,116,8,7.93,0,94,0,62.8,9,93,6.68,94,0.1,1,0.9,0.826,17.3,43131966,13789.06042
"Argentina",2014,"Developing",76.2,118,8,7.93,847.3717463,94,1,62.2,9,92,4.79,94,0.1,1,0.9,0.825,17.3,42669500,12334.79825
"Argentina",2013,"Developing",76,119,8,8.28,1001.796332,94,0,61.6,10,99,4.99,94,0.1,1,0.9,0.823,17.3,42202935,13080.25473
"Argentina",2012,"Developing",75.9,12,9,8.35,1133.558003,91,2,61,10,99,5.2,91,0.1,1,0.9,0.822,17.2,41733271,13082.66433
"Argentina",2011,"Developing",75.7,12,9,8.11,1504.329462,91,3,6.4,10,93,5.89,91,0.1,1,0.9,0.816,17.1,41261490,12848.74048
"Argentina",2010,"Developing",75.5,121,10,8.15,187.610955,94,17,59.8,11,95,6.55,94,0.1,1,0.9,0.802,16.8,40788453,10385.96443
"Argentina",2009,"Developing",75.6,126,10,8.33,1398.042623,94,3,59.2,11,97,7.63,94,0.1,1,0.9,0.794,16.5,40684338,8184.389889
"Argentina",2008,"Developing",75.4,126,10,8.41,1413.73543,9,0,58.6,11,94,6.66,93,0.1,1,0.9,0.792,16.3,40273769,8977.506851
"Argentina",2007,"Developing",74.8,129,10,8.16,1105.659031,85,0,58,12,92,6.49,91,0.1,1.1,0.9,0.788,16.3,39876111,7210.595548
"Argentina",2006,"Developing",75.2,127,11,7.75,961.1774676,84,0,57.5,12,92,6.68,91,0.1,1.1,0.9,0.782,16.1,39476851,5890.978002
"Argentina",2005,"Developing",74.9,127,11,7.53,96.16653429,88,0,56.9,12,95,6.85,98,0.1,1.1,1,0.78,16.3,39070501,5086.627761
"Argentina",2004,"Developing",74.7,13,11,7.63,719.3663797,81,0,56.3,12,91,6.84,98,0.1,1.1,1,0.775,16.3,38668796,4258.160261
"Argentina",2003,"Developing",74.1,137,11,7.62,57.58467352,73,0,55.7,13,95,8.22,96,0.1,1.2,1,0.77,16.4,38278164,3333.152904
"Argentina",2002,"Developing",74.1,138,12,7.81,470.1869145,66,0,55.1,13,94,8.31,93,0.1,1.2,1,0.776,16.3,37885028,2579.488769
"Argentina",2001,"Developing",74,138,12,7.76,123.0128671,89.5,0,54.6,13,85,9.38,83,0.1,1.2,1.1,0.771,15.6,37480493,7168.975872
"Argentina",2000,"Developing",74.1,137,12,7.68,1349.025282,89.5,6,54,14,88,9.21,83,0.1,1.2,1.1,0.764,15,37070774,7666.517834
"Armenia",2015,"Developing",74.8,118,1,3.91,0,94,33,54.9,1,96,4.56,94,0.1,2.1,2.2,0.741,12.7,2878595,3666.141825
"Armenia",2014,"Developing",74.6,12,1,3.91,295.6087143,93,13,54.1,1,95,4.48,93,0.1,2.1,2.1,0.739,12.7,2889930,4017.229913
"Armenia",2013,"Developing",74.4,123,1,3.79,279.4290812,95,10,53.3,1,96,4.55,95,0.1,2.1,2.1,0.736,12.7,2901385,3833.157071
"Armenia",2012,"Developing",74.4,121,1,3.89,274.1526986,95,0,52.6,1,96,4.48,95,0.1,2,2.1,0.732,12.7,2914421,3643.715404
"Armenia",2011,"Developing",73.9,128,1,4.09,260.9963826,95,0,51.9,1,96,3.71,95,0.1,2,2.1,0.729,12.7,2928976,3462.681774
"Armenia",2010,"Developing",73.5,132,1,4.23,224.3212014,94,2,51.2,1,96,4.56,94,0.1,2,2.1,0.72,12.3,2946293,3143.029482
"Armenia",2009,"Developing",73.3,137,1,3.96,201.1855461,93,0,5.7,1,94,4.55,93,0.1,2,2.1,0.725,11.9,2964296,2917.366245
"Armenia",2008,"Developing",73.2,14,1,3.96,2.8888979,89,0,5.1,1,91,3.8,89,0.1,2,2.1,0.721,12.3,2983421,3908.949057
"Armenia",2007,"Developing",73.5,132,1,3.99,44.57219966,85,1,49.7,1,9,4.31,88,0.1,2,2.1,0.707,11.7,3004393,3064.279961
"Armenia",2006,"Developing",72.9,141,1,4.01,244.5352767,78,137,49.2,1,87,4.58,87,0.1,2,2.1,0.692,11.2,3026486,2109.526385
"Armenia",2005,"Developing",73,137,1,4.25,20.21822828,91,2281,48.8,1,92,5.25,9,0.1,2,2.1,0.679,10.9,3047246,1608.163409
"Armenia",2004,"Developing",73,132,1,3.81,97.74087744,91,1783,48.4,1,93,5.5,91,0.1,2,2.1,0.668,10.9,3065745,1166.638204
"Armenia",2003,"Developing",72.7,134,1,3.03,7.341493148,93,4,48.1,1,96,5.56,94,0.1,2,2.1,0.657,10.8,3084102,910.1712617
"Armenia",2002,"Developing",72.6,134,1,2.86,57.17810403,91,40,47.8,1,96,5.4,94,0.1,2.1,2.1,0.645,10.8,3105037,765.3161777
"Armenia",2001,"Developing",72.6,141,1,2.86,53.19373012,69,69,47.4,1,97,5.94,94,0.1,2.1,2.1,0.644,11.1,3133133,676.1500113
"Armenia",2000,"Developing",72,142,1,2.9,32.75626853,55,15,47.1,1,96,6.25,93,0.1,2.1,2.2,0.639,11.2,3168523,603.2980252
"Australia",2015,"Developed",82.8,59,1,10.17,0,93,74,66.6,1,93,8.78,93,0.1,0.6,0.6,0.937,20.4,23815995,56708.9612
"Australia",2014,"Developed",82.7,6,1,9.71,10769.36305,91,340,66.1,1,92,9.42,92,0.1,0.6,0.6,0.936,20.4,23475686,62515.31483
"Australia",2013,"Developed",82.5,61,1,9.87,11734.85381,91,158,65.5,1,91,9.36,91,0.1,0.6,0.6,0.933,20.3,23128129,68156.3861
"Australia",2012,"Developed",82.3,61,1,10.03,11714.99858,91,199,65,1,92,9.36,92,0.1,0.6,0.6,0.93,20.1,22733465,68047.37818
"Australia",2011,"Developed",82,63,1,10.3,10986.26527,92,190,64.4,1,92,9.2,92,0.1,0.6,0.6,0.927,19.8,22340024,62598.68662
"Australia",2010,"Developed",81.9,64,1,10.52,8875.786493,92,70,63.9,1,92,9.2,92,0.1,0.7,0.6,0.927,19.5,22031750,52132.46961
"Australia",2009,"Developed",81.7,66,1,10.62,7172.275229,94,104,63.4,1,92,9.5,92,0.1,0.7,0.6,0.925,19.1,21691653,42810.46584
"Australia",2008,"Developed",81.3,66,1,10.76,8547.292357,94,65,62.9,1,92,8.78,92,0.1,0.7,0.6,0.921,19.1,21249199,49681.21907
"Australia",2007,"Developed",81.3,66,1,10.56,872.5986092,94,11,62.5,2,92,8.53,92,0.1,0.7,0.6,0.918,19,20827622,41023.75486
"Australia",2006,"Developed",81.2,66,1,10.31,6187.062017,95,0,62,2,92,8.49,92,0.1,0.7,0.6,0.915,20.3,20450966,36570.76307
"Australia",2005,"Developed",81,67,1,10.3,579.1331637,95,10,61.5,2,92,8.45,92,0.1,0.7,0.6,0.91,20.3,20176844,34460.543
"Australia",2004,"Developed",86,69,1,9.84,588.568371,95,70,6.9,1,92,8.57,92,0.1,0.7,0.6,0.908,20.7,19932722,30819.99349
"Australia",2003,"Developed",83,71,1,9.97,3829.550928,95,91,6.3,1,92,8.32,93,0.1,0.7,0.7,0.905,20.6,19720737,23705.90722
"Australia",2002,"Developed",79.9,73,1,9.84,46.3871819,95,32,59.6,2,92,8.39,92,0.1,0.7,0.7,0.902,20.1,19495210,20290.78042
"Australia",2001,"Developed",79.9,75,1,9.53,3064.301144,94,141,59,2,91,8.18,92,0.1,0.7,0.7,0.899,20.5,19274701,19681.64503
"Australia",2000,"Developed",79.5,78,1,10.17,347.18736,94,108,58.2,2,9,8.8,9,0.1,0.7,0.7,0.897,20.4,19028802,21853.44999
"Austria",2015,"Developed",81.5,65,0,12.26,0,93,309,57.6,0,93,1.6,93,0.1,1.9,2.1,0.892,15.9,8642699,44195.81759
"Austria",2014,"Developed",81.4,66,0,12.32,8350.193523,98,117,57.1,0,98,11.21,98,0.1,1.8,2,0.892,15.9,8546356,51786.37717
"Austria",2013,"Developed",81.1,68,0,11.82,90.58501176,95,0,56.6,0,95,11.14,95,0.1,1.8,2,0.887,15.7,8479823,50731.12725
"Austria",2012,"Developed",88,7,0,12.26,7878.372355,92,36,56.1,0,92,11.17,92,0.1,1.8,2,0.884,15.7,8429991,48564.91734
"Austria",2011,"Developed",88,73,0,12.04,8272.306757,89,68,55.7,0,89,1.94,89,0.1,1.7,2,0.88,15.7,8391643,51442.27625
"Austria",2010,"Developed",84,75,0,12.1,7423.228774,86,52,55.2,0,86,11.17,86,0.1,1.7,1.9,0.872,15.4,8363404,46903.76159
"Austria",2009,"Developed",82,77,0,11.3,8053.557638,83,49,54.7,0,83,11.19,83,0.1,1.7,1.9,0.87,15.3,8343323,48153.32402
"Austria",2008,"Developed",84,76,0,12,8329.731655,83,448,54.2,0,83,1.6,83,0.1,1.7,1.9,0.864,15.1,8321496,51919.98358
"Austria",2007,"Developed",81,8,0,12.5,7453.8644,85,20,53.7,0,85,1.4,85,0.1,1.7,1.9,0.86,15.2,8295487,46915.3374
"Austria",2006,"Developed",79.8,81,0,12.4,69.92899358,83,23,53.2,0,83,1.35,83,0.1,1.7,1.9,0.854,15,8268641,40669.32696
"Austria",2005,"Developed",79.4,85,0,12.4,5992.588029,86,9,52.7,0,86,1.53,86,0.1,1.7,1.9,0.848,14.9,8227829,38417.45779
"Austria",2004,"Developed",79.3,86,0,12.1,5316.877456,83,15,52.2,0,83,1.56,83,0.1,1.7,1.9,0.841,14.7,8171966,36889.23351
"Austria",2003,"Developed",78.8,88,0,12.2,504.4308735,83,90,51.7,0,84,1.48,84,0.1,1.7,1.9,0.837,14.7,8121423,32294.04886
"Austria",2002,"Developed",78.7,9,0,12.5,3979.057728,81,0,51.2,0,82,1.27,83,0.1,1.7,1.9,0.847,16.1,8081957,26527.59309
"Austria",2001,"Developed",78.6,92,0,12.4,3582.848308,44,0,5.6,0,83,1.12,84,0.1,1.7,1.9,0.837,15.5,8042293,24558.76368
"Austria",2000,"Developed",78.1,96,0,13.2,3557.455507,33,0,5.1,0,71,1.6,81,0.1,1.7,1.9,0.833,15.4,8011566,24625.60072
"Azerbaijan",2015,"Developing",72.7,118,5,0.73,0,96,0,52.5,6,98,5.37,96,0.1,2.8,2.9,0.758,12.7,9649341,5500.50462
"Azerbaijan",2014,"Developing",72.5,119,5,0.01,306.1824313,94,0,51.5,6,97,6.4,94,0.1,2.8,2.9,0.752,12.2,9535079,7890.83525
"Azerbaijan",2013,"Developing",72.2,121,5,2.14,275.6514934,93,164,5.6,6,96,5.54,93,0.1,2.8,2.8,0.745,11.9,9416801,7875.344611
"Azerbaijan",2012,"Developing",71.9,123,5,0.01,285.6103912,88,0,49.7,6,92,5.37,89,0.1,2.8,2.8,0.742,11.8,9295784,7495.861942
"Azerbaijan",2011,"Developing",71.6,125,5,1.98,263.142699,84,0,48.8,6,91,5.1,87,0.1,2.8,2.9,0.741,11.7,9173082,7189.815151
"Azerbaijan",2010,"Developing",71.1,13,5,1.98,246.5686008,8,0,48,6,85,5.33,81,0.1,2.8,2.9,0.737,11.7,9054332,5843.533768
"Azerbaijan",2009,"Developing",78,132,6,2.1,22.48638351,74,0,47.3,6,84,5.85,81,0.1,2.8,2.9,0.728,11.6,8947243,4950.397437
"Azerbaijan",2008,"Developing",73,141,6,1.18,206.2616134,68,5,46.6,6,85,4.37,81,0.1,2.8,2.9,0.719,11.6,8763400,5574.470962
"Azerbaijan",2007,"Developing",73,14,6,1.02,176.0107106,62,0,45.9,7,81,5.1,79,0.1,2.8,2.9,0.708,11.6,8581300,3851.331012
"Azerbaijan",2006,"Developing",69.2,154,6,0.85,105.6337264,52,222,45.3,7,8,6.17,78,0.1,2.9,2.9,0.682,10.7,8484550,2472.957257
"Azerbaijan",2005,"Developing",68.4,162,6,0.73,81.28883085,49,1238,44.7,7,79,7.86,75,0.1,2.9,3,0.675,11.2,8391850,1578.36733
"Azerbaijan",2004,"Developing",68.4,154,6,0.62,8.59680496,5,827,44.2,8,78,7.92,77,0.1,3,3,0.668,11,8306500,1045.014165
"Azerbaijan",2003,"Developing",67.8,154,7,0.55,42.41491183,51,1978,43.6,8,79,6.56,77,0.1,3,3,0.659,10.8,8234100,883.6925807
"Azerbaijan",2002,"Developing",67.8,146,7,0.55,39.33253687,5,4353,43.1,9,8,4.47,76,0.1,3.1,3.1,0.651,10.6,8171950,763.1087646
"Azerbaijan",2001,"Developing",67.5,151,8,0.51,4.104190077,65,574,42.6,10,77,4.48,77,0.1,3.1,3.1,0.642,10.4,8111200,703.6712504
"Azerbaijan",2000,"Developing",66.6,16,9,0.65,35.09462644,65,210,42.1,11,75,4.67,76,0.1,3.2,3.1,0.636,10.1,8048600,655.0974326
"Bahamas",2015,"Developing",76.1,147,0,10.15,0,95,0,64.5,0,95,7.3,95,0.1,2.5,2.5,0.79,12.6,392697,29724.95334
"Bahamas",2014,"Developing",75.4,16,0,9.45,0,96,0,63.8,0,96,7.74,96,0.1,2.5,2.5,0.789,12.6,389131,28720.66219
"Bahamas",2013,"Developing",74.8,172,0,9.42,0,97,0,63.2,0,97,7.5,97,0.1,2.5,2.5,0.79,12.6,385650,27389.60197
"Bahamas",2012,"Developing",74.9,167,0,9.5,0,96,0,62.6,0,99,7.43,98,0.2,2.5,2.5,0.789,12.6,382061,28059.6554
"Bahamas",2011,"Developing",75,162,0,9.34,0,95,0,62,0,97,7.63,98,0.1,2.5,2.5,0.788,12.6,377950,26644.92658
"Bahamas",2010,"Developing",75,161,0,9.19,0,98,0,61.3,0,97,7.44,99,0.2,2.5,2.5,0.788,12.6,373272,27046.65767
"Bahamas",2009,"Developing",74.6,168,0,9.29,0,95,0,6.7,0,97,7.43,96,0.1,2.5,2.5,0.791,12.6,368057,27120.69055
"Bahamas",2008,"Developing",74.5,167,0,10.15,0,9,0,6.1,0,93,7.3,93,0.1,2.5,2.5,0.791,12.6,362795,29013.63029
"Bahamas",2007,"Developing",74.4,167,0,10.75,0,93,0,59.4,0,95,7.8,95,0.1,2.5,2.5,0.79,12.5,357666,29687.86522
"Bahamas",2006,"Developing",74.2,171,0,11.07,0,96,0,58.7,0,94,6.93,95,0.1,2.5,2.5,0.788,12.4,352664,28829.84938
"Bahamas",2005,"Developing",74.1,172,0,10.49,0,93,0,58.1,0,93,5.95,93,0.1,2.6,2.5,0.786,12.4,347804,28280.87084
"Bahamas",2004,"Developing",73.8,174,0,10.1,0,93,0,57.4,0,92,6.2,93,0.1,2.6,2.5,0.784,12.3,343089,26393.41395
"Bahamas",2003,"Developing",73.2,189,0,10.68,0,88,0,56.7,0,93,5.62,92,0.1,2.6,2.5,0.783,12.2,338490,26204.8805
